register,user,title,year,score,users_rating,votes,metascore,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
346,adidialar3@digi.com,I Sell the Dead,2008,,6.1,10296,62,,Glenn McQuaid,Horror,Comedy,Dominic Monaghan,Larry Fessenden,,English,USA,
347,marmaybaz2601@movistar.com,Volcano,1997,,5.5,70426,55,,Mick Jackson,Drama,Action,Tommy Lee Jones,Anne Heche,Spanish,English,USA,
348,ursridgra182458@movistar.com,Shadow: Dead Riot,2006,9.0,4.005452562704472,917,33,,Derek Wan,Horror,Action,Tony Todd,Carla Greene,,English,USA,
349,toldorral065@hotmail.com,Rudy,1993,,7.5,54172,71,,David Anspaugh,Drama,Biography,Sean Astin,Jon Favreau,Spanish,English,USA,
350,fedarrker26@jazztel.com,Pandorum,2009,4.0,6.699980856901796,141043,28,,Christian Alvart,Horror,Action,Dennis Quaid,Ben Foster,Vietnamese,English,Germany,UK
351,humpenpor2@orange.com,The House,2017,,5.6,38827,30,,Andrew Jay Cohen,Crime,Comedy,Will Ferrell,Amy Poehler,,English,USA,
352,tescitel7807@orange.com,Saw,2004,,7.6,368853,46,,James Wan,Mystery,Horror,Leigh Whannell,Cary Elwes,,English,USA,
353,julzanbai012@hotmail.com,Black Rose,2014,,2.5,2340,5,,Alexander Nevsky,Crime,Action,Alexander Nevsky,Kristanna Loken,Russian,English,Russia,USA
354,ursridgra182458@movistar.com,The Brothers McMullen,1995,7.0,6.599417556510885,7211,73,,Edward Burns,Drama,Comedy,Shari Albert,Maxine Bahns,,English,USA,
355,wiosormas415@movistar.com,Night of the Lepus,1972,,4.2,4066,37,,William F. Claxton,Sci-Fi,Horror,Stuart Whitman,Janet Leigh,,English,USA,
356,julcarbad6@jazztel.com,The Most Hated Woman in America,2017,,6.1,4752,41,,Tommy O'Haver,Drama,Biography,Melissa Leo,Brandon Mychal Smith,,English,USA,
357,lucboufan4887@hotmail.com,Bedazzled,2000,7.0,6.000010580331164,94515,49,,Harold Ramis,Fantasy,Comedy,Brendan Fraser,Elizabeth Hurley,Spanish,English,USA,Germany
358,javriscon547659@gmail.com,Snipes,2001,7.0,5.504322766570605,347,32,,Rich Murray,Drama,Action,Sam Jones III,Nelly,,English,USA,
359,assaboshe7@vodafone.com ,Colors,1988,,6.8,23488,66,,Dennis Hopper,Crime,Action,Sean Penn,Robert Duvall,Spanish,English,USA,
360,juaaouesq86543@vodafone.com ,Malice,1993,,6.4,21917,52,,Harold Becker,Mystery,Crime,Alec Baldwin,Nicole Kidman,French,English,Canada,USA
361,jaibelvec58@movistar.com,The Brothers Grimm,2005,,5.9,114180,51,,Terry Gilliam,Adventure,Action,Petr Ratimec,Barbora Lukesová,French,English,USA,Czech Republic
362,wiosormas415@movistar.com,The Favourite,2018,4.0,7.499978040731307,159386,91,,Yorgos Lanthimos,Comedy,Biography,Olivia Colman,Rachel Weisz,,English,Ireland,UK
363,aguherbas3716@gmail.com,Trolls World Tour,2020,,6.1,8529,51,David P. Smith,Walt Dohrn,Adventure,Animation,Anna Kendrick,Justin Timberlake,,English,USA,
364,humpenpor2@orange.com,Jersey Girl,2004,,6.2,62227,43,,Kevin Smith,Drama,Comedy,Betty Aberlin,Matt McFarland,,English,USA,
365,eleirssas26@gmail.com,The Pelican Brief,1993,0.0,6.6,74227,50,,Alan J. Pakula,Drama,Crime,Julia Roberts,Denzel Washington,,English,USA,
367,liznasnia193189@vodafone.com ,Bubble Boy,2001,,5.6,29505,41,,Blair Hayes,Comedy,Adventure,Jake Gyllenhaal,Swoosie Kurtz,,English,USA,
368,guemaiiva047323@vodafone.com ,Man of the Century,1999,6.0,6.899222797927461,1158,44,,Adam Abraham,Romance,Comedy,Gibson Frazier,Cara Buono,Chinese,Italian,USA,
369,chobunbux37@orange.com,Undercover Brother,2002,5.0,5.799975671319527,32883,69,,Malcolm D. Lee,Comedy,Action,Eddie Griffin,Chris Kattan,,English,USA,
370,aguherbas3716@gmail.com,X-Men: The Last Stand,2006,,6.7,472388,58,,Brett Ratner,Adventure,Action,Hugh Jackman,Halle Berry,,English,Canada,USA
371,valdemesp8@movistar.com,Guardians of the Galaxy Vol. 2,2017,,7.6,541872,67,,James Gunn,Adventure,Action,Chris Pratt,Zoe Saldana,,English,USA,
372,estgubalz27234@gmail.com,The Fish That Saved Pittsburgh,1979,,5.4,919,40,,Gilbert Moses,Sport,Comedy,Julius Erving,Jonathan Winters,,English,USA,
373,hercamare50@vodafone.com ,Captain America: The First Avenger,2011,5.0,6.89999734914175,716749,66,,Joe Johnston,Adventure,Action,Chris Evans,Hayley Atwell,Norwegian,English,USA,
374,jospiemol703@vodafone.com ,The Nice Guys,2016,,7.4,265059,70,,Shane Black,Comedy,Action,Russell Crowe,Ryan Gosling,German,English,USA,
375,ricgoojul63@orange.com,Incarnate,2016,,5.2,11102,30,,Brad Peyton,Thriller,Horror,Aaron Eckhart,Carice van Houten,,English,USA,
376,harraeel5@jazztel.com,Chuck & Buck,2000,5.0,6.499711316397229,5196,76,,Miguel Arteta,Drama,Comedy,Mike White,Chris Weitz,,English,USA,
377,ailestben8@jazztel.com,The Hunter's Prayer,2017,,5.5,7545,35,,Jonathan Mostow,Thriller,Action,Martin Compston,Tina Maskell,German,English,USA,Spain
378,adidialar3@digi.com,Swiss Army Man,2016,,7.0,101147,64,Daniel Scheinert,Dan Kwan,Drama,Comedy,Paul Dano,Daniel Radcliffe,,English,USA,Sweden
379,darbassom07@vodafone.com ,The Gatekeeper,2002,,5.0,209,48,,John Carlos Frey,,Drama,John Carlos Frey,Michelle Agnew,,English,USA,
380,saafrarei8189@jazztel.com,Me and Earl and the Dying Girl,2015,,7.7,119361,74,,Alfonso Gomez-Rejon,Drama,Comedy,Thomas Mann,RJ Cyler,,English,USA,
381,anaustdob5@digi.com,The Princess Bride,1987,,8.1,380659,77,,Rob Reiner,Family,Adventure,Cary Elwes,Mandy Patinkin,,English,USA,
382,darbassom07@vodafone.com ,The Legend of Zorro,2005,,6.0,90562,47,,Martin Campbell,Adventure,Action,Alberto Reyes,Julio Oscar Mechoso,English,Spanish,USA,Mexico
383,juapraang011054@hotmail.com,Down the Shore,2011,,5.9,1037,54,,Harold Guskin,Romance,Drama,Famke Janssen,James Gandolfini,,English,USA,
384,ricgoojul63@orange.com,For Whom the Bell Tolls,1943,,6.9,8079,68,,Sam Wood,Drama,Adventure,Gary Cooper,Ingrid Bergman,Spanish,English,USA,
385,eleirssas26@gmail.com,All the President's Men,1976,,8.0,98584,84,,Alan J. Pakula,Drama,Biography,Dustin Hoffman,Robert Redford,Spanish,English,USA,
386,pabkarbor59537@hotmail.com,All the Right Moves,1983,2.0,5.899742761031594,15161,62,,Michael Chapman,Romance,Drama,Tom Cruise,Craig T. Nelson,,English,USA,
387,anaustdob5@digi.com,The Loss of Sexual Innocence,1999,,5.4,3046,42,,Mike Figgis,,Drama,Julian Sands,Saffron Burrows,,English,USA,UK
388,yolmalmac0@orange.com,The Babymakers,2012,,4.9,8317,30,,Jay Chandrasekhar,,Comedy,Paul Schneider,Olivia Munn,,English,USA,
389,josdasvig2879@orange.com,Beyond the Valley of the Dolls,1970,,6.2,9667,60,,Russ Meyer,Drama,Comedy,Dolly Read,Cynthia Myers,,English,USA,
390,yurnalala36993@gmail.com,A Bug's Life,1998,,7.2,259283,77,Andrew Stanton,John Lasseter,Adventure,Animation,Dave Foley,Kevin Spacey,,English,USA,
391,adrlukest73@movistar.com,The Good Lie,2014,,7.4,26425,65,,Philippe Falardeau,Drama,Biography,Reese Witherspoon,Arnold Oceng,,English,Kenya,India
393,marrachac85@movistar.com,The Wave,2019,2.0,5.99802371541502,2024,51,,Gille Klabin,Thriller,Sci-Fi,Justin Long,Tommy Flanagan,,English,USA,
394,vikmoulir84896@gmail.com,Session 9,2001,,6.4,51570,58,,Brad Anderson,Mystery,Horror,David Caruso,Stephen Gevedon,,English,USA,
395,ivamongra1@digi.com,King of the Mountain,1981,10.0,5.513846153846154,325,48,,Noel Nosseck,,Drama,Harry Hamlin,Joseph Bottoms,,English,USA,
396,gemyanbic970@hotmail.com,Journey 2: The Mysterious Island,2012,,5.8,89739,41,,Brad Peyton,Adventure,Action,Dwayne Johnson,Michael Caine,,English,USA,
397,augmaepop467222@movistar.com,Hugo,2011,,7.5,297173,83,,Martin Scorsese,Family,Drama,Ben Kingsley,Sacha Baron Cohen,,English,UK,USA
398,darbassom07@vodafone.com ,Gimme the Loot,2012,,6.6,2374,81,,Adam Leon,Crime,Comedy,Tashiana Washington,Ty Hickson,,English,USA,
399,nicpetriu089@movistar.com,My Chauffeur,1986,,5.7,1742,37,,David Beaird,,Comedy,Deborah Foreman,Sam J. Jones,,English,USA,
400,siljaugea161@orange.com,Beneath,2013,8.0,3.70106094251172,4053,40,,Ben Ketai,Drama,Adventure,Brent Briscoe,Kurt Caceres,,English,USA,
402,alifenvel96289@vodafone.com ,Inherent Vice,2014,,6.7,91043,81,,Paul Thomas Anderson,Crime,Comedy,Joanna Newsom,Katherine Waterston,Japanese,English,USA,
403,julcarbad6@jazztel.com,Big Momma's House 2,2006,,4.7,39698,34,,John Whitesell,Crime,Comedy,Martin Lawrence,Nia Long,,English,USA,
404,marrachac85@movistar.com,The Bad News Bears,1976,2.0,7.29973058153721,19672,84,,Michael Ritchie,Drama,Comedy,Walter Matthau,Tatum O'Neal,Spanish,English,USA,
406,anaustdob5@digi.com,Trolls,2016,,6.5,69013,55,Walt Dohrn,Mike Mitchell,Adventure,Animation,Anna Kendrick,Justin Timberlake,,English,USA,
407,ursridgra182458@movistar.com,Front Cover,2015,,6.3,882,52,,Ray Yeung,Drama,Comedy,Jake Choi,James Chen,Mandarin,English,USA,
408,kencarzai79@jazztel.com,Judgment Night,1993,,6.6,14971,46,,Stephen Hopkins,Crime,Action,Emilio Estevez,Cuba Gooding Jr.,,English,Japan,USA
409,kencarzai79@jazztel.com,The Kill Team,2019,,5.9,2628,60,,Dan Krauss,Drama,Action,Nat Wolff,Alexander Skarsgård,,English,Spain,USA
410,yahkniple6@orange.com,Eight Heads in a Duffel Bag,1997,,5.4,9430,15,,Tom Schulman,Comedy,Adventure,Joe Pesci,Andy Comeau,Spanish,English,USA,UK
411,wiltixtre7191@gmail.com,Spartacus,1960,,7.9,120454,87,,Stanley Kubrick,Biography,Adventure,Kirk Douglas,Laurence Olivier,,English,USA,
412,josdasvig2879@orange.com,Drive Me Crazy,1999,5.0,5.799954843079702,17716,42,,John Schultz,Drama,Comedy,Melissa Joan Hart,Adrian Grenier,,English,USA,
413,aleechgua159671@movistar.com,Journey to the Center of the Earth,2008,7.0,5.800010873701952,110358,57,,Eric Brevig,Adventure,Action,Brendan Fraser,Josh Hutcherson,Icelandic,English,USA,
414,saafrarei8189@jazztel.com,House of the Dead,2003,4.0,2.0000563443768318,35496,15,,Uwe Boll,Adventure,Action,Jonathan Cherry,Tyron Leitso,,English,Germany,Canada
415,aleechgua159671@movistar.com,Cavemen,2013,,5.3,4291,19,,Herschel Faber,,Comedy,Skylar Astin,Camilla Belle,,English,USA,
416,yesbelhar0221@gmail.com,Stolen Summer,2002,,6.5,2610,36,,Pete Jones,,Drama,Aidan Quinn,Bonnie Hunt,,English,USA,
417,xesmalref0@digi.com,Breakin',1984,7.0,5.800212089077412,5658,53,,Joel Silberg,Drama,Comedy,Lucinda Dickey,Adolfo Quinones,,English,USA,
418,tabcalras13@hotmail.com,Sound of Metal,2019,,6.9,287,87,,Darius Marder,Music,Drama,Olivia Cooke,Riz Ahmed,,English,Belgium,USA
419,adrlukest73@movistar.com,Dorian Blues,2004,,6.6,2319,52,,Tennyson Bardwell,Drama,Comedy,Michael McMillian,Lea Coco,,English,USA,
420,xesmalref0@digi.com,Waterworld,1995,,6.2,175134,56,,Kevin Reynolds,Adventure,Action,Kevin Costner,Chaim Jeraffi,,English,USA,
421,estgubalz27234@gmail.com,The Tuxedo,2002,8.0,5.400033625617548,77322,30,,Kevin Donovan,Comedy,Action,Jackie Chan,Jennifer Love Hewitt,Cantonese,English,USA,
422,pabkarbor59537@hotmail.com,John Henry,2020,,3.5,1359,27,,Will Forbes,Thriller,Drama,Terry Crews,Maestro Harrell,,English,USA,
423,annroddio997@gmail.com,Body Cam,2020,,5.2,796,37,,Malik Vitthal,Mystery,Horror,Mary J. Blige,Nat Wolff,,English,USA,
424,guemaiiva047323@vodafone.com ,The 13th Warrior,1999,,6.6,113953,42,Michael Crichton,John McTiernan,Adventure,Action,Antonio Banderas,Diane Venora,English,Arabic,USA,
425,saafrarei8189@jazztel.com,Slice,2018,,4.5,2516,61,,Austin Vesely,Crime,Comedy,Zazie Beetz,Chance the Rapper,,English,USA,
427,crileceng08@vodafone.com ,Anatomy of a Murder,1959,,8.0,57513,95,,Otto Preminger,Drama,Crime,James Stewart,Lee Remick,,English,USA,
428,javriscon547659@gmail.com,The Man with One Red Shoe,1985,,5.7,14420,31,,Stan Dragoti,Thriller,Comedy,Tom Hanks,Dabney Coleman,,English,USA,
429,julcarbad6@jazztel.com,Not Forgotten,2009,,4.8,2487,48,,Dror Soref,Thriller,Horror,Simon Baker,Paz Vega,,English,USA,
430,shuforfog38@orange.com,Carol,2015,,7.2,110010,94,,Todd Haynes,Romance,Drama,Cate Blanchett,Rooney Mara,,English,UK,USA
431,wiosormas415@movistar.com,The Express,2008,,7.3,19366,58,,Gary Fleder,Drama,Biography,Rob Brown,Dennis Quaid,,English,USA,Germany
432,verrocmat8819@digi.com,Drinking Buddies,2013,,6.1,55093,71,,Joe Swanberg,Drama,Comedy,Olivia Wilde,Jake Johnson,,English,USA,
433,liznasnia193189@vodafone.com ,The Prophecy,1995,,6.5,28275,44,,Gregory Widen,Crime,Action,Christopher Walken,Elias Koteas,,English,USA,
434,humpenpor2@orange.com,Prime,2005,,6.2,39122,58,,Ben Younger,Drama,Comedy,Uma Thurman,Meryl Streep,,English,USA,
435,estbouel3440@orange.com,The Spiderwick Chronicles,2008,,6.5,85795,62,,Mark Waters,Adventure,Action,Freddie Highmore,Mary-Louise Parker,,English,USA,
436,annroddio997@gmail.com,No Mercy,1986,,5.7,6601,54,,Richard Pearce,Drama,Crime,Richard Gere,Kim Basinger,French,English,USA,
437,liznasnia193189@vodafone.com ,The Void,2016,,5.8,28784,62,Steven Kostanski,Jeremy Gillespie,Mystery,Horror,Aaron Poole,Kenneth Welsh,,English,Canada,USA
438,eleirssas26@gmail.com,Excalibur,1981,,7.4,55789,56,,John Boorman,Drama,Adventure,Nigel Terry,Helen Mirren,,English,USA,UK
439,gemyanbic970@hotmail.com,A Hologram for the King,2016,,6.1,38845,58,,Tom Tykwer,Drama,Comedy,Tom Hanks,Omar Elba,Arabic,English,UK,France
440,tescitel7807@orange.com,All Cheerleaders Die,2013,,5.1,7999,45,Chris Sivertson,Lucky McKee,Fantasy,Comedy,Sidney Allison,Charon R. Arnold,,English,USA,
441,belcozkal350559@vodafone.com ,Superman III,1983,6.0,5.000015974440895,62600,44,,Richard Lester,Adventure,Action,Christopher Reeve,Richard Pryor,Italian,English,UK,USA
442,levbouel8567@vodafone.com ,Super Dark Times,2017,,6.6,16886,75,,Kevin Phillips,Drama,Crime,Owen Campbell,Charlie Tahan,,English,USA,
443,sanolealg5@vodafone.com ,Home Fries,1998,,5.099860970677452,7912,45,,Dean Parisot,Romance,Comedy,Drew Barrymore,Catherine O'Hara,,English,USA,
444,tescitel7807@orange.com,Stray Bullets,2016,,4.1,332,55,,Jack Fessenden,Drama,Crime,James Le Gros,John Speredakos,,English,USA,
445,alifenvel96289@vodafone.com ,Insidious: Chapter 3,2015,,6.1,89592,52,,Leigh Whannell,Mystery,Horror,Dermot Mulroney,Stefanie Scott,,English,Canada,UK
446,alifenvel96289@vodafone.com ,Madame Bovary,2014,,5.7,7391,52,,Sophie Barthes,Romance,Drama,Mia Wasikowska,Rhys Ifans,French,English,Germany,Belgium
447,kevurigav650483@movistar.com,Vacancy,2007,,6.2,92386,54,,Nimród Antal,Thriller,Horror,Kate Beckinsale,Luke Wilson,,English,USA,
448,saafrarei8189@jazztel.com,Dead Man Walking,1995,,7.5,86366,80,,Tim Robbins,Drama,Crime,Susan Sarandon,Sean Penn,,English,UK,USA
449,darbassom07@vodafone.com ,Seeking a Friend for the End of the World,2012,,6.7,105557,59,,Lorene Scafaria,Comedy,Adventure,Steve Carell,Keira Knightley,,English,USA,
450,nicpetriu089@movistar.com,Home Fries,1998,4.0,5.099860970677452,7912,45,,Dean Parisot,Romance,Comedy,Drew Barrymore,Catherine O'Hara,,English,USA,
451,guemaiiva047323@vodafone.com ,The Hunting Party,2007,,6.8,24324,54,,Richard Shepard,Comedy,Adventure,Terrence Howard,Richard Gere,Serbo-Croatian,English,USA,Croatia
452,ainsalalp45038@movistar.com,After Words,2015,,6.3,732,35,,Juan Feldman,,Drama,Marcia Gay Harden,Huguette Urhausen,,English,USA,
453,vlabonalb299970@digi.com,The Year That Trembled,2002,,4.8,184,34,,Jay Craven,Romance,Drama,Jonathan Brandis,Charlie Finn,,English,USA,
454,yurnalala36993@gmail.com,Meet the Robinsons,2007,,6.8,84571,61,,Stephen J. Anderson,Adventure,Animation,Angela Bassett,Daniel Hansen,,English,USA,
455,guidobger8790@hotmail.com,Desperado,1995,,7.2,167350,55,,Robert Rodriguez,Crime,Action,Antonio Banderas,Salma Hayek,Spanish,English,USA,Mexico
456,assaboshe7@vodafone.com ,Mr. Brooks,2007,,7.3,140277,45,,Bruce A. Evans,Drama,Crime,Kevin Costner,Demi Moore,,English,USA,
457,zaibelgar033755@digi.com,Lorenzo's Oil,1992,,7.3,19972,80,,George Miller,,Drama,Nick Nolte,Susan Sarandon,Italian,English,USA,
458,juaaouesq86543@vodafone.com ,For Whom the Bell Tolls,1943,,6.9,8079,68,,Sam Wood,Drama,Adventure,Gary Cooper,Ingrid Bergman,Spanish,English,USA,
459,angabafah7@vodafone.com ,The City of Your Final Destination,2009,0.0,6.3,2790,52,,James Ivory,Romance,Drama,Nicholas Blandullo,Sofía Viruboff,Spanish,English,USA,
460,vicalihma19867@gmail.com,Carrie,2013,,5.9,162124,53,,Kimberly Peirce,Horror,Drama,Julianne Moore,Chloë Grace Moretz,,English,USA,Canada
461,toldorral065@hotmail.com,Close Encounters of the Third Kind,1977,,7.6,177944,90,,Steven Spielberg,Sci-Fi,Drama,Richard Dreyfuss,François Truffaut,French,English,USA,
462,assaboshe7@vodafone.com ,Welcome to Mooseport,2004,,5.2,12000,33,,Donald Petrie,Romance,Comedy,Gene Hackman,Ray Romano,,English,USA,Germany
464,tescitel7807@orange.com,Thief,1981,10.0,7.400109367770161,23773,78,,Michael Mann,Crime,Action,James Caan,Tuesday Weld,,English,USA,
465,marrachac85@movistar.com,The Brooklyn Banker,2016,,6.7,805,32,,Federico Castelluccio,Crime,Action,Troy Garity,Paul Sorvino,,English,USA,
466,chobunbux37@orange.com,The Return of the Pink Panther,1975,1.0,7.099748162827182,24222,61,,Blake Edwards,Crime,Comedy,Peter Sellers,Christopher Plummer,,English,UK,USA
467,harraeel5@jazztel.com,Coming Through the Rye,2015,9.0,6.303349875930521,806,64,,James Steven Sadwith,,Drama,Alex Wolff,Stefania LaVie Owen,,English,USA,
468,jossatcor68@gmail.com,Sister Act 2: Back in the Habit,1993,6.0,5.60000844880027,47344,38,,Bill Duke,Family,Comedy,Whoopi Goldberg,Kathy Najimy,,English,USA,
469,ainsalalp45038@movistar.com,Computer Chess,2013,3.0,6.29922788956481,4274,74,,Andrew Bujalski,,Comedy,Kriss Schludermann,Tom Fletcher,,English,USA,
470,guidobger8790@hotmail.com,Into the Wild,2007,,8.1,553544,73,,Sean Penn,Biography,Adventure,Emile Hirsch,Marcia Gay Harden,Danish,English,USA,
471,annroddio997@gmail.com,Tenacious D in the Pick of Destiny,2006,,6.8,99740,55,,Liam Lynch,Comedy,Adventure,Jack Black,Kyle Gass,,English,USA,Germany
472,belcozkal350559@vodafone.com ,Star Trek: First Contact,1996,,7.600020832429148,115205,71,,Jonathan Frakes,Adventure,Action,Patrick Stewart,Jonathan Frakes,,English,USA,
473,tabcalras13@hotmail.com,The Game of Their Lives,2005,,6.1,3046,47,,David Anspaugh,History,Drama,Gerard Butler,Wes Bentley,Spanish,English,USA,
474,josciclir66828@movistar.com,Antitrust,2001,,6.1,28034,31,,Peter Howitt,Crime,Action,Ryan Phillippe,Rachael Leigh Cook,,English,USA,
475,chlzabzal66964@gmail.com,The Dead Girl,2006,,6.6,14224,65,,Karen Moncrieff,Drama,Crime,Toni Collette,Piper Laurie,,English,USA,
476,siljaugea161@orange.com,Black Widow,1987,,6.3,8424,70,,Bob Rafelson,Drama,Crime,Debra Winger,Theresa Russell,,English,USA,
477,eleirssas26@gmail.com,Escape Plan,2013,,6.7,222095,49,,Mikael Håfström,Thriller,Action,Sylvester Stallone,Arnold Schwarzenegger,German,English,USA,
478,peltuegus5983@jazztel.com,Tropic Thunder,2008,,7.0,369018,71,,Ben Stiller,Comedy,Action,Jeff Kahn,Robert Downey Jr.,Mandarin,English,USA,UK
479,marchesui6@vodafone.com ,Chasing Papi,2003,,4.8,3873,33,,Linda Mendoza,Romance,Comedy,Roselyn Sanchez,Sofía Vergara,Spanish,English,USA,
480,harraeel5@jazztel.com,Malcolm X,1992,,7.7,81223,72,,Spike Lee,Drama,Biography,Denzel Washington,Angela Bassett,,English,USA,Japan
481,levbouel8567@vodafone.com ,Resident Evil: Afterlife,2010,,5.8,158900,37,,Paul W.S. Anderson,Adventure,Action,Milla Jovovich,Ali Larter,Japanese,English,Germany,France
482,nicpetriu089@movistar.com,Sahara,2005,,6.0,89900,41,,Breck Eisner,Adventure,Action,Jude Akuwudike,Mark Aspinall,French,English,UK,Spain
483,toldorral065@hotmail.com,The Souvenir,2019,,6.5,7307,91,,Joanna Hogg,Mystery,Drama,Neil Young,Tosin Cole,,English,UK,USA
484,jossatcor68@gmail.com,I Love You to Death,1990,,6.4,13046,45,,Lawrence Kasdan,Crime,Comedy,Kevin Kline,Tracey Ullman,Italian,English,USA,
485,gemyanbic970@hotmail.com,Restless City,2011,,5.7,227,59,,Andrew Dosunmu,Music,Drama,Hervé Diese,Momo Dione,French,English,USA,
486,pabkarbor59537@hotmail.com,Toad Road,2012,6.0,5.100758853288364,1186,54,,Jason Banker,,Horror,James Davidson,Sara Anne Jones,,English,USA,
487,juapraang011054@hotmail.com,The Conversation,1974,,7.8,94171,85,,Francis Ford Coppola,Mystery,Drama,Gene Hackman,John Cazale,,English,USA,
488,javriscon547659@gmail.com,In the Heart of the Sea,2015,6.0,6.899992263189113,116327,47,,Ron Howard,Adventure,Action,Chris Hemsworth,Benjamin Walker,,English,USA,Australia
489,tarbelmor2@digi.com,Hugo,2011,,7.5,297173,83,,Martin Scorsese,Family,Drama,Ben Kingsley,Sacha Baron Cohen,,English,UK,USA
490,elchadev223@jazztel.com,Ed Wood,1994,,7.8,162074,70,,Tim Burton,Comedy,Biography,Johnny Depp,Martin Landau,,English,USA,
491,estgubalz27234@gmail.com,How the Grinch Stole Christmas,2000,,6.2,196849,46,,Ron Howard,Family,Comedy,Jim Carrey,Taylor Momsen,,English,USA,Germany
492,ivamongra1@digi.com,Titanic,1997,,7.8,1014732,75,,James Cameron,Romance,Drama,Leonardo DiCaprio,Kate Winslet,Swedish,English,USA,Mexico
493,pabkarbor59537@hotmail.com,Mallrats,1995,,7.1,113559,41,,Kevin Smith,Romance,Comedy,Shannen Doherty,Jeremy London,,English,USA,
494,yurnalala36993@gmail.com,Boat Trip,2002,,4.9,29798,18,,Mort Nathan,,Comedy,Cuba Gooding Jr.,Horatio Sanz,Swedish,English,USA,Germany
495,anaustdob5@digi.com,Point Blank,2019,3.0,5.699742955064737,10504,37,,Joe Lynch,Thriller,Action,Frank Grillo,Stuart F. Wilson,,English,France,USA
496,josciclir66828@movistar.com,Falling Down,1993,,7.6,164148,56,,Joel Schumacher,Drama,Crime,Michael Douglas,Robert Duvall,Spanish,English,France,USA
497,levbouel8567@vodafone.com ,Masters of the Universe,1987,0.0,5.4,35732,35,,Gary Goddard,Adventure,Action,Dolph Lundgren,Frank Langella,,English,USA,Israel
498,vicalihma19867@gmail.com,Rock of Ages,2012,,5.9,72270,47,,Adam Shankman,Drama,Comedy,Julianne Hough,Dakota Sage Grant,,English,USA,
499,gemyanbic970@hotmail.com,Coyote Lake,2019,,5.0,410,40,,Sara Seligman,,Thriller,Camila Mendes,Adriana Barraza,Spanish,English,USA,
500,saafrarei8189@jazztel.com,Party Girl,1995,,6.6,4377,55,,Daisy von Scherler Mayer,,Comedy,Parker Posey,Anthony DeSando,,English,USA,
501,wiltixtre7191@gmail.com,Spy Kids 2: Island of Lost Dreams,2002,,5.1,58607,66,,Robert Rodriguez,Adventure,Action,Antonio Banderas,Carla Gugino,,English,USA,
502,jaighasal61@digi.com,Made of Honor,2008,1.0,5.89992575532592,65998,37,,Paul Weiland,Romance,Comedy,Patrick Dempsey,Michelle Monaghan,,English,USA,UK
503,yahkniple6@orange.com,Short Eyes,1977,,7.1,1058,53,,Robert M. Young,,Drama,Bruce Davison,José Pérez,,English,USA,
504,tabcalras13@hotmail.com,Clown,2014,,5.7,21155,42,,Jon Watts,Fantasy,Drama,Andy Powers,Laura Allen,,English,USA,Canada
505,fedarrker26@jazztel.com,Stir of Echoes,1999,,7.0,72535,67,,David Koepp,Mystery,Horror,Zachary David Cope,Kevin Bacon,Spanish,English,USA,
507,juaaouesq86543@vodafone.com ,Misery,1990,0.0,7.8,176865,75,,Rob Reiner,Thriller,Drama,James Caan,Kathy Bates,,English,USA,
508,yurnalala36993@gmail.com,Skin Trade,2014,,5.6,7335,39,,Ekachai Uekrongtham,Crime,Action,Dolph Lundgren,Tony Jaa,Thai,English,Thailand,Canada
509,kevurigav650483@movistar.com,Supergirl,1984,,4.4,18012,42,,Jeannot Szwarc,Adventure,Action,Faye Dunaway,Helen Slater,,English,UK,USA
510,naytracam020337@digi.com,Take Shelter,2011,,7.4,88365,85,,Jeff Nichols,Horror,Drama,Michael Shannon,Jessica Chastain,,English,USA,
511,vicalihma19867@gmail.com,Tragedy Girls,2017,,6.0,8062,58,,Tyler MacIntyre,Crime,Comedy,Brianna Hildebrand,Alexandra Shipp,,English,USA,
512,almfetest52084@jazztel.com,The Lucky One,2012,,6.5,98836,39,,Scott Hicks,Mystery,Drama,Zac Efron,Taylor Schilling,,English,USA,
513,chlzabzal66964@gmail.com,On the Road,2012,,6.1,39101,56,,Walter Salles,Drama,Adventure,Sam Riley,Garrett Hedlund,French,English,France,USA
514,saafrarei8189@jazztel.com,Raise Your Voice,2004,,5.9,26362,33,,Sean McNamara,Music,Family,Hilary Duff,Oliver James,French,English,USA,
515,angabafah7@vodafone.com ,American Ultra,2015,,6.1,81866,50,,Nima Nourizadeh,Comedy,Action,Jesse Eisenberg,Kristen Stewart,Mandarin,English,USA,Switzerland
516,kencarzai79@jazztel.com,A Monster Calls,2016,,7.5,77593,76,,J.A. Bayona,Drama,Adventure,Lewis MacDougall,Sigourney Weaver,,English,UK,Spain
517,valdemesp8@movistar.com,Wild Orchid,1989,,4.6,11034,19,,Zalman King,Romance,Drama,Mickey Rourke,Jacqueline Bisset,Portuguese,English,USA,
518,fedarrker26@jazztel.com,The Living End,1992,,6.5,2553,65,,Gregg Araki,Drama,Comedy,Mike Dytri,Craig Gilmore,,English,USA,
519,ailestben8@jazztel.com,Superstar,1999,2.0,5.19981824378053,17606,42,,Bruce McCulloch,Romance,Comedy,Molly Shannon,Will Ferrell,,English,USA,
520,zaibelgar033755@digi.com,The Men Who Stare at Goats,2009,,6.2,124959,54,,Grant Heslov,War,Comedy,George Clooney,Ewan McGregor,Arabic,English,USA,UK
